State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
PR,00601,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00602,AGUADA CO,CUHC,0.115000,0.105000,0.010000,0,0
PR,00603,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00604,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00605,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00606,MARICAO CO,CVWS,0.115000,0.105000,0.010000,0,0
PR,00610,ANASCO CO,CUJO,0.115000,0.105000,0.010000,0,0
PR,00611,UTUADO CO,CXBF,0.115000,0.105000,0.010000,0,0
PR,00612,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00613,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00614,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00616,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00617,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00622,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00623,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00624,PENUELAS CO,CWCC,0.115000,0.105000,0.010000,0,0
PR,00627,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00631,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00636,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00637,SABANA GRANDE CO,CWJR,0.115000,0.105000,0.010000,0,0
PR,00638,CIALES CO,CVDK,0.115000,0.105000,0.010000,0,0
PR,00641,UTUADO CO,CXBF,0.115000,0.105000,0.010000,0,0
PR,00646,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00647,GUANICA CO,CVHW,0.115000,0.105000,0.010000,0,0
PR,00650,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00652,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00653,GUANICA CO,CVHW,0.115000,0.105000,0.010000,0,0
PR,00656,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00659,HATILLO CO,CVPP,0.115000,0.105000,0.010000,0,0
PR,00660,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00662,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00664,PUERTO RICO,CXFO,0.115000,0.115000,0,0,0
PR,00667,LAJAS CO,CVUA,0.115000,0.105000,0.010000,0,0
PR,00669,LARES CO,CVUJ,0.115000,0.105000,0.010000,0,0
