State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
NC,27006,DAVIE COUNTY,BAXM,0.067500,0.047500,0.020000,0,0
NC,27007,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27009,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27010,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27011,YADKIN COUNTY,BCTG,0.067500,0.047500,0.020000,0,0
NC,27012,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27013,ROWAN COUNTY,BCFE,0.070000,0.047500,0.022500,0,0
NC,27014,DAVIE COUNTY,BAXM,0.067500,0.047500,0.020000,0,0
NC,27016,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27017,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27018,YADKIN COUNTY,BCTG,0.067500,0.047500,0.020000,0,0
NC,27019,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27020,YADKIN COUNTY,BCTG,0.067500,0.047500,0.020000,0,0
NC,27021,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27022,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27023,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27024,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27025,ROCKINGHAM COUNTY,BCEK,0.067500,0.047500,0.020000,0,0
NC,27027,ROCKINGHAM COUNTY,BCEK,0.067500,0.047500,0.020000,0,0
NC,27028,DAVIE COUNTY,BAXM,0.067500,0.047500,0.020000,0,0
NC,27030,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27031,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27040,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27041,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27042,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27043,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27045,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27046,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27047,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27048,ROCKINGHAM COUNTY,BCEK,0.067500,0.047500,0.020000,0,0
NC,27049,SURRY COUNTY,BCKK,0.070000,0.047500,0.022500,0,0
NC,27050,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27051,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27052,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27053,STOKES COUNTY,BCJS,0.067500,0.047500,0.020000,0,0
NC,27054,ROWAN COUNTY,BCFE,0.070000,0.047500,0.022500,0,0
NC,27055,YADKIN COUNTY,BCTG,0.067500,0.047500,0.020000,0,0
NC,27094,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27099,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27101,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27102,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27103,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27104,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27105,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27106,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27107,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27108,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27109,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27110,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27111,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27113,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27114,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27115,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27116,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27117,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27120,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27127,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27130,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27150,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27152,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27155,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27157,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27198,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27199,FORSYTH COUNTY,BAZW,0.067500,0.047500,0.020000,0,0
NC,27201,ALAMANCE COUNTY,BAAK,0.067500,0.047500,0.020000,0,0
NC,27202,ALAMANCE COUNTY,BAAK,0.067500,0.047500,0.020000,0,0
NC,27203,RANDOLPH COUNTY,BCBM,0.070000,0.047500,0.022500,0,0
NC,27205,RANDOLPH COUNTY,BCBM,0.070000,0.047500,0.022500,0,0
NC,27207,CHATHAM COUNTY,BAOS,0.067500,0.047500,0.020000,0,0
NC,27208,CHATHAM COUNTY,BAOS,0.067500,0.047500,0.020000,0,0
NC,27209,MONTGOMERY COUNTY,BBRS,0.070000,0.047500,0.022500,0,0
NC,27212,CASWELL COUNTY,BANI,0.067500,0.047500,0.020000,0,0
NC,27213,CHATHAM COUNTY,BAOS,0.067500,0.047500,0.020000,0,0
NC,27214,GUILFORD COUNTY,BBEC,0.067500,0.047500,0.020000,0,0
NC,27215,ALAMANCE COUNTY,BAAK,0.067500,0.047500,0.020000,0,0
NC,27216,ALAMANCE COUNTY,BAAK,0.067500,0.047500,0.020000,0,0
NC,27217,ALAMANCE COUNTY,BAAK,0.067500,0.047500,0.020000,0,0
NC,27229,MONTGOMERY COUNTY,BBRS,0.070000,0.047500,0.022500,0,0
NC,27230,RANDOLPH COUNTY,BCBM,0.070000,0.047500,0.022500,0,0
NC,27231,ORANGE COUNTY,BBWW,0.075000,0.047500,0.022500,0,0.005000
NC,27233,RANDOLPH COUNTY,BCBM,0.070000,0.047500,0.022500,0,0
NC,27235,GUILFORD COUNTY,BBEC,0.067500,0.047500,0.020000,0,0
